id,average,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,total_enrolled,course_id,dfw
71134,,0,0,0,0,0,0,0,0,0,15,2133.0,15
71135,,0,0,0,0,0,0,0,0,0,1,2139.0,1
71136,,0,0,0,0,0,0,0,0,0,1,2143.0,1
71137,,0,0,0,0,0,0,0,0,0,3,2152.0,3
71138,,0,0,0,0,0,0,0,0,0,1,8458.0,1
71139,3.9780645161290322,69,218,23,0,0,0,0,0,0,310,8461.0,0
71140,3.9280909090909093,51,119,14,2,4,1,0,0,1,192,8462.0,0
71141,,7,9,5,0,1,0,0,0,0,24,8463.0,2
71142,,0,12,8,5,7,10,0,0,0,43,8464.0,1
71143,4.0,12,154,0,0,0,0,0,0,0,167,8465.0,1
71144,3.434738041002278,9,58,155,107,70,33,6,0,0,439,8468.0,1
71145,3.6192405063291138,31,123,187,73,46,17,2,0,0,481,8469.0,2
71146,3.523062381852552,44,87,192,96,66,30,8,3,1,529,8470.0,2
71147,3.5649268292682925,32,150,210,116,60,40,5,2,0,615,8471.0,0
71148,3.7514285714285713,14,33,36,15,4,0,0,0,0,105,8472.0,3
71149,3.859431818181818,14,45,21,4,2,1,0,0,0,88,8473.0,1
71150,3.815509355509355,93,430,371,48,8,2,0,5,5,962,8474.0,0
71151,3.8885984621610685,238,269,165,26,7,0,0,0,0,706,2186.0,1
71152,3.566699875466999,20,214,286,146,74,41,13,1,0,803,8475.0,6
71153,3.3557321652065077,66,127,193,151,109,72,42,29,5,799,8476.0,5
71154,3.8858301158301156,176,387,170,28,12,0,0,2,0,777,8477.0,2
71155,3.9394366197183106,195,62,19,1,0,0,0,0,1,284,8478.0,6
71156,3.565807136609055,79,231,211,94,73,44,11,17,6,771,8479.0,5
71157,3.9616666666666664,33,45,1,1,1,1,0,0,0,84,8480.0,2
71158,3.98,88,22,6,2,0,2,0,0,4,124,8481.0,0
71159,3.98,14,11,2,0,0,0,0,0,0,27,8482.0,0
71160,4.0,35,125,0,0,0,0,0,0,0,160,8483.0,0
71161,3.910288288288289,25,141,3,1,0,0,0,0,0,185,8484.0,2
71162,3.6103474706182936,25,56,7,4,11,2,1,2,1,116,8487.0,7
71163,3.97,19,7,2,0,0,0,0,0,0,28,8488.0,0
71164,3.4584374999999996,1,22,2,2,2,0,1,1,0,32,9926.0,1
71165,3.154054054054054,15,15,6,8,7,3,1,5,1,66,8489.0,5
